Resource,Stakater responsibilities,Your responsibilities
Customer data,<ul><li>Maintain platform-level standards for data encryption.</li><li>Provide OpenShift components to help manage application data such as secrets.</li><li>Enable integration with third-party data services (such as AWS RDS or Google Cloud SQL) to store and manage data outside of the cluster and/or cloud provider.</li></ul>,<ul><li>Maintain responsibility for all customer data stored on the platform and how customer applications consume and expose this data.</li></ul>
Customer applications,<ul><li>Provision clusters with Red Hat OpenShift components installed so that you can access the Red Hat OpenShift API to deploy and manage your containerized apps.</liv><li>Provide OpenShift components to help manage application data such as secrets.</li><li>Provide a number of managed add-ons to extend your app's capabilities. Maintenance is simplified for you because Stakater provides the installation and updates for the managed add-ons.</li><li>Provide storage classes and plug-ins to support persistent volumes for use with your apps.</li><li>Provide a container image registry so customers can securely store application container images on the cluster to deploy and manage applications.</li></ul>,<ul><li>Maintain responsibility for customer and third-party applications; data; and their complete lifecycle.</li><li>If you add community third-party your own or other services to your cluster such as by using Operators then you are responsible for these services and for working with the appropriate provider to troubleshoot any issues.</li><li>Use the provided tools and features to configure and deploy; keep up-to-date; set up resource requests and limits; size the cluster to have enough resources to run apps; set up permissions; integrate with other services; manage any image streams or templates that the customer deploys; externally serve; save back up and restore data; and otherwise manage their highly available and resilient workloads.</li><li>Maintain responsibility for monitoring the applications run on SAAP.</li></ul>
